input_name,sample,chain_id,fc_key
1b6499720a8bd18579246f851b1c78237a005a18,3,O,1b6499720a8bd18579246f851b1c78237a005a18_3_O
d7b754d608976fb7035dc0b30d07defa94796b8c,2,A,d7b754d608976fb7035dc0b30d07defa94796b8c_2_A
cbf311c2b586419410a6d5aaa132a6f1e33bf170,2,E,cbf311c2b586419410a6d5aaa132a6f1e33bf170_2_E
f12b6c2ff7ac97975f34454d99e7222af6ff048f,1,E,f12b6c2ff7ac97975f34454d99e7222af6ff048f_1_E
2b7694d5d706c3d2b708663d08dd67048b6a24b1,2,C,2b7694d5d706c3d2b708663d08dd67048b6a24b1_2_C
9a1177b5fe4809da20e1be275bea4e7deb021c76,3,G,9a1177b5fe4809da20e1be275bea4e7deb021c76_3_G
813481685f11a471923c165d52ca1fdcf1582791,4,B,813481685f11a471923c165d52ca1fdcf1582791_4_B
90a1300531f35f06c03b43bd85a7059528756f2b,4,E,90a1300531f35f06c03b43bd85a7059528756f2b_4_E
59b3f4db42e8d6d310fb14c55dc78f7717bbd64d,1,G,59b3f4db42e8d6d310fb14c55dc78f7717bbd64d_1_G
4ce9151f9cbdb69a5c9d02d611f6a606fb137285,0,H,4ce9151f9cbdb69a5c9d02d611f6a606fb137285_0_H
5fa06c791b6d3a9550779ad17f48607a30d6749d,2,F,5fa06c791b6d3a9550779ad17f48607a30d6749d_2_F
b22d35d724e7ebb40302cf54d75f2625cf98abeb,3,J,b22d35d724e7ebb40302cf54d75f2625cf98abeb_3_J
1640bacee320d5471e913bbe530cee59c4a78f4a,0,A,1640bacee320d5471e913bbe530cee59c4a78f4a_0_A
257ee4c31c7f87f033a9b493097ec5f15c192425,0,D,257ee4c31c7f87f033a9b493097ec5f15c192425_0_D
c2224c76d091111c251828fbb0c84857be90099a,1,I,c2224c76d091111c251828fbb0c84857be90099a_1_I
5aec41ce60d056e031154ceba95d4c168c0d3459,0,B,5aec41ce60d056e031154ceba95d4c168c0d3459_0_B
5adb4ae7a27276eea7749b5088e8cb490df5e709,4,A,5adb4ae7a27276eea7749b5088e8cb490df5e709_4_A
97851cc97c6ce5ba15403f144c09dcbd9ca0a97a,0,I,97851cc97c6ce5ba15403f144c09dcbd9ca0a97a_0_I
a4adb5226e9cec4965fd74f20f8068fd533541c0,2,H,a4adb5226e9cec4965fd74f20f8068fd533541c0_2_H
059a1750f374608975876cdc0bedb64ac65ee223,1,D,059a1750f374608975876cdc0bedb64ac65ee223_1_D
be760f9091e6fbae3f6b7edf8e1f0bd03f8279cc,3,C,be760f9091e6fbae3f6b7edf8e1f0bd03f8279cc_3_C
67c473c79abec60db02b08fcbc9cd7d6fe0cbfe6,4,I,67c473c79abec60db02b08fcbc9cd7d6fe0cbfe6_4_I
0895c384f00a33e2d2442606415062f62d4ba00c,1,A,0895c384f00a33e2d2442606415062f62d4ba00c_1_A
d45b214b68ceba3d307500c635e94d06bdc004f8,3,G,d45b214b68ceba3d307500c635e94d06bdc004f8_3_G
63b51f650ee2241b5437c7512110d1c82d3dbf7f,0,G,63b51f650ee2241b5437c7512110d1c82d3dbf7f_0_G
79b91562b2d7c89da6b47348dc2cd74560d4a481,3,C,79b91562b2d7c89da6b47348dc2cd74560d4a481_3_C
30debf780f4147a0b0ded29942a52e8b23e8da80,3,H,30debf780f4147a0b0ded29942a52e8b23e8da80_3_H
cc5be2bf04795bdcb3ad4457db2be949e395d8b7,1,B,cc5be2bf04795bdcb3ad4457db2be949e395d8b7_1_B
1df9903620dace7294d01d8f555997b929d608ce,1,D,1df9903620dace7294d01d8f555997b929d608ce_1_D
e5a0fb54516943009f3f04e92ba8640a57acd5a3,3,F,e5a0fb54516943009f3f04e92ba8640a57acd5a3_3_F
a45aa8df8e27fb043ff4492a10e96c794665ecff,2,B,a45aa8df8e27fb043ff4492a10e96c794665ecff_2_B
9950cd5a62ac22e8cead1b441271174cd48e20ed,2,C,9950cd5a62ac22e8cead1b441271174cd48e20ed_2_C
31ee2c8ddfb7a44434b7776bb5b5265434ab510a,3,J,31ee2c8ddfb7a44434b7776bb5b5265434ab510a_3_J
ca53a856ca2caaec582250624e5bb081f29f98b8,3,B,ca53a856ca2caaec582250624e5bb081f29f98b8_3_B
df8e3e52a5953119bda821a4701184e7e6f30dee,2,K,df8e3e52a5953119bda821a4701184e7e6f30dee_2_K
f4491513c027eabb84e79dd1832b022addbf2349,0,D,f4491513c027eabb84e79dd1832b022addbf2349_0_D
422a58d694bce8ee74d928dffe33e342e9429512,1,A,422a58d694bce8ee74d928dffe33e342e9429512_1_A
b53feea243946dc625a40e846bbfc3a9b334ad0f,3,E,b53feea243946dc625a40e846bbfc3a9b334ad0f_3_E
0916dd245d713b5e205c71bdeed1b95278d8a739,4,C,0916dd245d713b5e205c71bdeed1b95278d8a739_4_C
11ce1805f1748ac9e3b8103d2584361601b902a8,0,G,11ce1805f1748ac9e3b8103d2584361601b902a8_0_G
2a9c83563c7d3a2237faa108294581311f1e16ed,3,G,2a9c83563c7d3a2237faa108294581311f1e16ed_3_G
dfd8479ebb27a7a1cb32c2070c1d84814c621392,2,B,dfd8479ebb27a7a1cb32c2070c1d84814c621392_2_B
5a70b6d853b4e73c8a00cfafdfb667abda112b90,4,H,5a70b6d853b4e73c8a00cfafdfb667abda112b90_4_H
